ID;Rooms;District;Meters;Floor;House;Price;Interier
201121198;4;Железнодорожный;81.3/59.6/7.3;4/4; Кирпичный;4250000;Евроремонт
241867050;2;Железнодорожный;71.0/36.5/11.0;16/16; Кирпичный;7000000;Дизайнерский
163856701;3;Самарский;131.7/70.6/20.8;3/5; Кирпичный;11000000;Дизайнерский
164483784;1;Ленинский;59.28/21.6/19.5;4/12; Кирпичный;3190000;Нет данных
164484343;3;Самарский;72.3/44.5/9.6;3/7; Кирпичный;6300000;Косметический
165767493;3;Кировский;84.6/18.0;2/3; Кирпичный;4950000;Евроремонт
176820135;4;Ленинский;70.0/44.0/16.0;2/2; Кирпичный;4300000;Дизайнерский
193881953;4;Самарский;158.4/121.6/17.8;5/6; Кирпичный;11100000;Косметический
195991100;2;Ленинский;48.0;1/3; Кирпичный;2600000;Косметический
196438251;2;Самарский;37.0/22.0/7.0;1/1; Кирпичный;670000;Косметический
197011642;2;Железнодорожный;65.3/33.1/12.8;2/18; Монолитно-кирпичный;5650000;Евроремонт
197391236;1;Куйбышевский;51.26;16/16; Кирпичный;1922250;Нет данных
197427222;3;Самарский;92.4/60.0/12.0;3/5;Нет данных;4300000;Косметический
199223804;2;Самарский;40.0/25.0/6.0;1/2; Кирпичный;2900000;Косметический
201495243;1;Промышленный;20.6/12.0/5.0;3/9; Кирпичный;1500000;Косметический
201725506;4;Самарский;182.0/110.0/20.0;3/8; Монолитный;13500000;Косметический
202482797;1;Самарский;34.0/15.0/10.0;3/7; Кирпичный;3150000;Дизайнерский
202579316;1;Куйбышевский;49.72;9/16; Кирпичный;1914220;Нет данных
202579323;1;Куйбышевский;49.72;13/16; Кирпичный;1914220;Нет данных
202579340;1;Куйбышевский;51.26;4/16; Кирпичный;1922250;Нет данных
202579346;1;Куйбышевский;51.26;9/16; Кирпичный;1922250;Нет данных
202579349;1;Куйбышевский;51.26;12/16; Кирпичный;1922250;Нет данных
203381413;1;Октябрьский;51.0/22.6/12.8;2/4; Монолитный;3570000;Нет данных
203667966;4;Самарский;144.1/84.0/18.0;6/9; Кирпичный;13000000;Косметический
203975514;3;Самарский;34.0/23.0/6.0;2/2; Деревянный;1250000;Косметический
204043812;4;Самарский;126.0/68.0/15.0;3/6; Кирпичный;8500000;Косметический
204291324;2;Самарский;46.7/27.8/7.3;3/5; Кирпичный;3800000;Косметический
204635490;2;Самарский;42.4/26.0/5.0;1/2; Кирпичный;2350000;Евроремонт
204663671;3;Самарский;110.0/60.0/25.0;4/4;Нет данных;8100000;Евроремонт
205846110;3;Самарский;84.0/55.0/14.0;2/7; Кирпичный;6700000;Косметический
206827695;2;Самарский;70.0/40.0/13.2;4/5; Кирпичный;3900000;Косметический
206996830;2;Самарский;75.7/44.8/9.9;3/4; Кирпичный;5400000;Косметический
208315104;3;Самарский;131.7/70.0/20.8;3/5;Нет данных;10990000;Нет данных
209288296;3;Самарский;73.0/48.6/13.2;2/2; Кирпичный;4500000;Косметический
209340000;2;Ленинский;45.0/29.5/5.7;5/5; Кирпичный;2950000;Косметический
209819943;2;Красноглинский;48.0/30.0/10.0;2/3; Кирпичный;2350000;Косметический
210949972;2;Куйбышевский;66.5/36.2/13.3;22/24; Кирпичный;2626750;Нет данных
210950111;3;Куйбышевский;102.99/53.7/16.6;7/24; Кирпичный;3656145;Нет данных
210951104;1;Куйбышевский;42.92;1/24; Кирпичный;1652420;Нет данных
210951105;1;Куйбышевский;42.98;23/24; Кирпичный;1697710;Нет данных
210951107;1;Куйбышевский;43.06;21/24; Кирпичный;1700870;Нет данных
210951116;1;Куйбышевский;43.3;2/24; Кирпичный;1688700;Нет данных
210951118;1;Куйбышевский;43.3;3/24; Кирпичный;1688700;Нет данных
210951120;1;Куйбышевский;43.3;4/24; Кирпичный;1688700;Нет данных
210951125;1;Куйбышевский;43.3;5/24; Кирпичный;1688700;Нет данных
210951131;1;Куйбышевский;43.3;6/24; Кирпичный;1688700;Нет данных
210951141;1;Куйбышевский;43.3;7/24; Кирпичный;1688700;Нет данных
210951143;1;Куйбышевский;43.3;8/24; Кирпичный;1688700;Нет данных
210951148;1;Куйбышевский;43.3;9/24; Кирпичный;1688700;Нет данных
210951153;1;Куйбышевский;43.3;10/24; Кирпичный;1688700;Нет данных
210951156;1;Куйбышевский;43.3;11/24; Кирпичный;1688700;Нет данных
210951159;1;Куйбышевский;43.3;12/24; Кирпичный;1688700;Нет данных
210951164;1;Куйбышевский;43.3;13/24; Кирпичный;1688700;Нет данных
210951167;1;Куйбышевский;43.3;14/24; Кирпичный;1688700;Нет данных
210951170;1;Куйбышевский;43.3;15/24; Кирпичный;1688700;Нет данных
210951174;1;Куйбышевский;43.3;16/24; Кирпичный;1688700;Нет данных
210951177;1;Куйбышевский;43.3;17/24; Кирпичный;1688700;Нет данных
210951180;1;Куйбышевский;43.3;18/24; Кирпичный;1688700;Нет данных
210951185;1;Куйбышевский;43.3;19/24; Кирпичный;1688700;Нет данных
210951187;1;Куйбышевский;43.3;20/24; Кирпичный;1688700;Нет данных
210951192;1;Куйбышевский;43.3;21/24; Кирпичный;1688700;Нет данных
210951195;1;Куйбышевский;43.3;22/24; Кирпичный;1688700;Нет данных
210951201;1;Куйбышевский;43.3;23/24; Кирпичный;1688700;Нет данных
210951212;1;Куйбышевский;43.57;15/24; Кирпичный;1699230;Нет данных
210951213;1;Куйбышевский;43.66;14/24; Кирпичный;1702740;Нет данных
210951216;1;Куйбышевский;43.84;8/24; Кирпичный;1709760;Нет данных
210951218;1;Куйбышевский;44.94;1/24; Кирпичный;1730190;Нет данных
210952115;1;Куйбышевский;43.06;17/24; Кирпичный;1700870;Нет данных
210952119;1;Куйбышевский;43.06;18/24; Кирпичный;1700870;Нет данных
210952123;1;Куйбышевский;43.06;19/24; Кирпичный;1700870;Нет данных
